# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8323
#@/user_id	e7e57a2c-2e9c-446e-a89d-2d5cdff91181
a 	啊	c=28 d=1.67528 t=8271
zi ding 	字釘	c=1 d=1 t=6230
zi dong 	自動	c=3 d=1 t=6768
zi duan 	字段	c=47 d=1.33892 t=7710
zi fu chuan 	字符串	c=1 d=1 t=5808
zi ji 	自己	c=18 d=1.31043 t=8280
zi liao 	資料	c=1 d=1 t=3970
zi zhu 	自助	c=1 d=1 t=5966
zong 	總	c=1 d=1 t=290
zong he 	總和	c=2 d=1 t=7058
zong jie 	總結	c=4 d=2.04093 t=438
zong liang 	總量	c=1 d=1 t=228
zong neng 	總能	c=1 d=1 t=676
zou 	走	c=3 d=1.00012 t=2441
zou pai qi 	走排期	c=1 d=1 t=841
zu 	組	c=0 d=0.1 t=6433
zu jian 	組建	c=0 d=0.1 t=8317
zu jian ku 	組建庫	c=2 d=1.99501 t=8319
zuan 	鑽	c=1 d=1 t=4729
zui hao 	最好	c=1 d=1 t=4600
zui hou 	最後	c=6 d=1.00064 t=5208
zui jin 	最近	c=6 d=1 t=5116
zui jin ji ben 	最近基本	c=1 d=1 t=2855
zui kuai 	最快	c=1 d=1 t=743
zui shang mian 	最上面	c=1 d=1 t=2404
zui xin 	最新	c=7 d=1.00021 t=6774
zui zhong yao 	最重要	c=1 d=1 t=4385
zun xun 	遵循	c=1 d=1 t=4375
zuo 	做	c=12 d=1.00746 t=8307
zuo dao 	做到	c=1 d=1 t=8293
zuo diao 	做掉	c=1 d=1 t=846
zuo ge 	做個	c=2 d=1 t=5974
zuo guo 	做過	c=1 d=1 t=5955
zuo le 	做了	c=1 d=1 t=882
zuo tian 	昨天	c=10 d=1.64735 t=7296
zuo tian de 	昨天的	c=1 d=1 t=3376
zuo tian fa zai 	昨天發在	c=1 d=1 t=1748
zuo wei 	作爲	c=3 d=1 t=8304
zuo yi 	作意	c=1 d=1 t=1874
zuo yi ci 	作一词	c=1 d=1 t=3084
zuo yong 	作用	c=4 d=1.19109 t=8315
zuo yong yu 	作用域	c=1 d=1 t=5806
zuo you 	左右	c=4 d=1.00002 t=7907
